class,id,x,y,value
0,442,523.0,463.0,0.3412
1,443,107.0,367.0,0.4019
6,444,655.0,320.0,-0.4215
2,445,655.0,317.0,0.5538
5,446,675.0,309.0,0.0
4,447,386.0,393.0,0.0
2,448,571.0,390.0,0.3612
4,449,475.0,333.0,0.0
5,450,688.0,284.0,0.0
4,451,474.0,262.0,0.5093
4,452,556.0,495.0,0.0
4,453,517.0,331.0,0.0
4,454,556.0,369.0,0.296
7,455,106.0,207.0,0.0
4,456,556.0,495.0,0.0
4,457,557.0,493.0,0.0
2,458,556.0,369.0,0.4019
7,459,106.0,207.0,0.0
1,460,80.0,434.0,0.6808
1,461,80.0,434.0,0.6808
4,462,146.0,418.0,0.0
4,463,556.0,495.0,0.0
6,464,655.0,320.0,-0.4588
0,465,556.0,369.0,0.7958
4,466,537.0,417.0,0.0
7,467,176.0,261.0,0.0
4,468,556.0,495.0,0.0
4,469,523.0,463.0,0.0
4,470,496.0,303.0,0.0
4,471,556.0,495.0,0.0
4,472,537.0,417.0,0.0
2,473,688.0,284.0,0.4019
4,474,406.0,474.0,0.0
119,475,184.0,386.0,-0.8625
4,476,406.0,474.0,0.0
7,477,103.0,243.0,0.0
7,478,105.0,205.0,0.0
7,479,99.0,244.0,-0.0772
15,480,283.0,521.0,-0.508
15,481,283.0,521.0,-0.508
0,482,556.0,369.0,0.5574
8,483,492.0,306.0,-0.8516
8,484,492.0,306.0,-0.8516
4,485,455.0,372.0,0.0
4,486,455.0,372.0,0.0
4,487,556.0,496.0,0.0
7,488,110.0,210.0,0.0
4,489,610.0,317.0,0.0
3,490,382.0,466.0,0.0
14,491,580.0,332.0,-0.7369
14,492,580.0,332.0,-0.7369
10,493,80.0,434.0,-0.296
10,494,80.0,434.0,-0.296
4,495,382.0,466.0,-0.1027
4,496,556.0,495.0,0.0
0,497,283.0,521.0,0.5255
0,498,283.0,521.0,0.5255
4,499,614.0,365.0,0.0
2,500,647.0,338.0,0.2144
4,501,590.0,276.0,0.0
0,502,430.0,298.0,0.4215
5,503,496.0,303.0,-0.6369
7,504,110.0,210.0,-0.5267
4,505,151.0,417.0,0.0
10,506,153.0,419.0,-0.3182
5,507,688.0,284.0,0.0
4,508,598.0,273.0,0.0
4,509,395.0,318.0,-0.3182
7,510,110.0,210.0,0.0
13,511,556.0,488.0,-0.5759
1,512,162.0,434.0,0.6249
6,513,569.0,488.0,-0.4767
4,514,523.0,463.0,0.0
3,515,382.0,466.0,0.0
5,516,580.0,332.0,-0.1761
5,517,580.0,332.0,-0.1761
3,518,382.0,466.0,0.0
5,519,688.0,284.0,-0.0928
4,520,619.0,346.0,0.0
4,521,382.0,466.0,-0.0572
4,522,614.0,365.0,0.0
4,523,548.0,440.0,0.0
10,524,107.0,363.0,-0.4939
36,525,500.0,426.0,-0.7034
4,526,576.0,310.0,0.0
2,527,688.0,297.0,0.7378
5,528,645.0,316.0,0.0
7,529,92.0,194.0,0.0
13,530,581.0,504.0,-0.5562
3,531,382.0,466.0,0.0
3,532,382.0,466.0,0.0
4,533,496.0,303.0,0.0
3,534,382.0,466.0,0.0
0,535,471.0,463.0,0.2103
7,536,110.0,210.0,-0.6249
5,537,654.0,318.0,-0.2263
5,538,590.0,276.0,-0.2732
2,539,654.0,318.0,0.5499
7,540,115.0,359.0,0.0
4,541,477.0,379.0,0.0
2,542,688.0,297.0,0.5093
4,543,420.0,427.0,0.0
3,544,382.0,466.0,0.0
7,545,80.0,434.0,0.0
7,546,80.0,434.0,0.0
7,547,106.0,207.0,0.0
36,548,500.0,426.0,-0.7034
4,549,637.0,346.0,0.0
9,550,688.0,284.0,-0.6808
4,551,386.0,393.0,-0.636
5,552,531.0,352.0,-0.3724
5,553,531.0,352.0,-0.3724
25,554,589.0,321.0,-0.836
25,555,589.0,321.0,-0.836
5,556,688.0,284.0,0.0
0,557,531.0,423.0,0.3612
3,558,382.0,466.0,0.0
4,559,609.0,337.0,0.0
2,560,678.0,293.0,0.727
4,561,550.0,290.0,0.2571
3,562,382.0,466.0,0.0
4,563,544.0,378.0,0.0
27,564,283.0,521.0,-0.69
27,565,283.0,521.0,-0.69
3,566,382.0,466.0,0.0
7,567,106.0,207.0,-0.2732
7,568,103.0,210.0,-0.4767
0,569,537.0,417.0,0.6369
0,570,204.0,371.0,0.7345
110,571,492.0,461.0,-0.8126
9,572,678.0,293.0,-0.6351
2,573,653.0,316.0,0.0
4,574,549.0,294.0,0.0
7,575,106.0,207.0,-0.2732
7,576,104.0,361.0,0.0
9,577,678.0,293.0,-0.7955
5,578,640.0,330.0,0.0
4,579,191.0,433.0,0.1007
4,580,101.0,239.0,0.25
2,581,587.0,308.0,0.4019
2,582,651.0,312.0,0.0
4,583,131.0,400.0,0.0
4,584,131.0,400.0,0.0
5,585,654.0,318.0,-0.2942
4,586,518.0,341.0,0.0
4,587,471.0,400.0,0.0
22,588,581.0,504.0,-0.7177
7,589,106.0,207.0,0.0
10,590,115.0,359.0,-0.3382
2,591,656.0,243.0,0.659
90,592,176.0,261.0,-0.6597
0,593,580.0,332.0,0.5423
0,594,580.0,332.0,0.5423
4,595,353.0,450.0,0.0
4,596,283.0,521.0,-0.3802
4,597,283.0,521.0,-0.3802
4,598,146.0,418.0,0.0
4,599,434.0,250.0,0.0
5,600,550.0,290.0,-0.6155
0,601,471.0,400.0,0.6696
4,602,625.0,336.0,0.0
3,603,382.0,466.0,0.0
4,604,531.0,352.0,0.0
4,605,531.0,352.0,0.0
4,606,131.0,400.0,0.0
4,607,131.0,400.0,0.0
0,608,406.0,474.0,0.3595
7,609,106.0,207.0,0.0
3,610,382.0,466.0,0.0
7,611,106.0,207.0,0.0
4,612,619.0,341.0,0.0
3,613,382.0,466.0,0.0772
0,614,496.0,303.0,0.5994
7,615,80.0,434.0,0.0
7,616,80.0,434.0,0.0
0,617,584.0,321.0,0.9169
4,618,521.0,354.0,0.0
2,619,655.0,316.0,0.2732
5,620,659.0,313.0,-0.2914
4,621,364.0,501.0,-0.4926
4,622,494.0,361.0,0.1984
4,623,494.0,361.0,0.1984
30,624,106.0,207.0,-0.7456
6,625,537.0,417.0,-0.5267
4,626,384.0,396.0,0.0
2,627,661.0,318.0,0.5423
4,628,223.0,421.0,0.0
2,629,661.0,318.0,0.3182
1,630,184.0,386.0,0.6705
91,631,101.0,239.0,-0.743
2,632,661.0,318.0,0.0
4,633,537.0,417.0,0.0
2,634,661.0,318.0,0.0
4,635,304.0,335.0,0.0
2,636,661.0,318.0,0.0
2,637,661.0,318.0,0.0
4,638,539.0,371.0,0.0
4,639,446.0,350.0,-0.0823
0,640,655.0,316.0,0.8519
5,641,625.0,336.0,-0.2942
0,642,325.0,419.0,0.5136
4,643,581.0,504.0,0.0
4,644,434.0,465.0,0.0
4,645,387.0,396.0,0.0
5,646,550.0,290.0,-0.2342
30,647,106.0,207.0,-0.7456
7,648,128.0,211.0,0.0
5,649,688.0,284.0,-0.128
2,650,654.0,318.0,0.3612
4,651,521.0,354.0,0.296
0,652,406.0,474.0,0.4215
4,653,106.0,207.0,0.3612
2,654,655.0,316.0,0.4404
4,655,620.0,344.0,0.0
4,656,534.0,417.0,-0.3182
4,657,534.0,417.0,-0.3182
0,658,283.0,521.0,0.765
0,659,283.0,521.0,0.765
7,660,103.0,362.0,0.0
2,661,550.0,290.0,0.3237
9,662,698.0,266.0,-0.5859
1,663,80.0,434.0,0.6996
1,664,80.0,434.0,0.6996
5,665,521.0,354.0,-0.504
7,666,107.0,363.0,-0.0754
4,667,617.0,347.0,0.1149
6,668,581.0,504.0,-0.3544
9,669,624.0,264.0,-0.5411
5,670,435.0,253.0,-0.4336
4,671,590.0,276.0,0.0
76,672,581.0,504.0,-0.9011
1,673,131.0,400.0,0.6588
1,674,131.0,400.0,0.6588
4,675,172.0,275.0,0.0
25,676,589.0,321.0,-0.9188
25,677,589.0,321.0,-0.9188
9,678,654.0,318.0,-0.6705
10,679,103.0,362.0,-0.4019
4,680,589.0,321.0,0.0
4,681,589.0,321.0,0.0
95,682,202.0,290.0,-0.7964
10,683,107.0,363.0,-0.3412
5,684,539.0,371.0,-0.5673
13,685,556.0,496.0,-0.5719
4,686,496.0,303.0,-0.2942
2,687,655.0,316.0,0.0
4,688,494.0,361.0,0.0
4,689,494.0,361.0,0.0
4,690,583.0,523.0,0.0
10,691,159.0,413.0,-0.5859
6,692,596.0,387.0,-0.4939
4,693,580.0,332.0,0.0
4,694,580.0,332.0,0.0
4,695,494.0,361.0,0.0
4,696,494.0,361.0,0.0
10,697,107.0,363.0,-0.5106
4,698,581.0,504.0,0.0
0,699,386.0,393.0,0.6988
10,700,146.0,418.0,-0.4738
4,701,512.0,435.0,0.0
7,702,202.0,290.0,-0.296
10,703,146.0,418.0,-0.2732
4,704,146.0,418.0,0.0
10,705,146.0,418.0,-0.4199
4,706,512.0,435.0,-0.4019
4,707,509.0,421.0,0.0
4,708,388.0,394.0,0.0
4,709,565.0,466.0,0.0
4,710,160.0,408.0,0.0
2,711,654.0,318.0,0.0
5,712,660.0,308.0,0.0
0,713,539.0,371.0,0.7906
5,714,655.0,320.0,-0.296
10,715,146.0,418.0,-0.5859
10,716,107.0,363.0,-0.3335
4,717,162.0,434.0,0.0
5,718,643.0,328.0,0.0
10,719,153.0,419.0,-0.5994
6,720,581.0,504.0,-0.4226
4,721,597.0,418.0,0.0
7,722,107.0,363.0,0.0
4,723,407.0,386.0,0.0
4,724,523.0,463.0,-0.296
0,725,589.0,321.0,0.6739
0,726,589.0,321.0,0.6739
4,727,300.0,321.0,0.3802
4,728,373.0,479.0,0.0
4,729,373.0,479.0,0.0
0,730,581.0,504.0,0.7946
0,731,496.0,303.0,0.5661
2,732,606.0,415.0,0.4404
4,733,256.0,372.0,0.0
0,734,395.0,318.0,0.4479
4,735,184.0,384.0,-0.0314
4,736,492.0,295.0,0.0
0,737,655.0,316.0,0.8477
24,738,490.0,466.0,-0.5719
7,739,103.0,210.0,0.2244
4,740,560.0,316.0,0.0
0,741,537.0,417.0,0.4588
0,742,490.0,466.0,0.7003
2,743,654.0,318.0,0.0
4,744,550.0,331.0,0.0
6,745,581.0,504.0,-0.4215
1,746,150.0,415.0,0.5374
4,747,589.0,321.0,0.0
4,748,589.0,321.0,0.0
5,749,660.0,308.0,0.0
4,750,491.0,303.0,0.0
0,751,581.0,504.0,0.7707
7,752,80.0,434.0,0.0
7,753,80.0,434.0,0.0
0,754,471.0,400.0,0.6006
0,755,655.0,316.0,0.7717
7,756,165.0,229.0,0.0
16,757,115.0,359.0,-0.658
4,758,494.0,361.0,0.0
4,759,494.0,361.0,0.0
4,760,373.0,479.0,-0.1779
4,761,373.0,479.0,-0.1779
