class,id,x,y,value
3,987,146,418,0.4215
18,988,499,304,0.7261
16,989,644,327,0
233,990,578,384,0
105,991,615,369,0.1511
221,992,440,290,0.7418
16,993,625,337,0
16,994,644,327,-0.5905
12,995,589,321,0.4215
12,996,589,321,0.4215
41,997,589,321,-0.4696
41,998,589,321,-0.4696
38,999,583,275,0
23,1000,585,522,0
29,1001,600,390,0
11,1002,537,417,0
73,1003,523,463,-0.4939
4,1004,560,494,0
16,1005,640,330,-0.2789
116,1006,551,328,0
67,1007,131,400,-0.5562
67,1008,131,400,-0.5562
43,1009,564,513,-0.3724
66,1010,108,368,-0.6486
41,1011,589,321,-0.5267
41,1012,589,321,-0.5267
44,1013,497,300,-0.4023
199,1014,610,317,0
14,1015,655,320,0.6822
15,1016,283,521,0.7783
15,1017,283,521,0.7783
4,1018,564,513,0.4215
11,1019,537,417,0
26,1020,564,513,0
12,1021,580,332,0.8176
12,1022,580,332,0.8176
41,1023,580,332,-0.8534
41,1024,580,332,-0.8534
8,1025,537,295,0.4215
0,1026,119,348,0.6114
1,1027,537,295,0.5859
118,1028,534,417,-0.6458
21,1029,116,348,0
5,1030,686,291,0
105,1031,614,365,0
50,1032,99,244,0
105,1033,615,369,0
41,1034,576,310,0
58,1035,592,359,0.5095
95,1036,581,400,-0.6597
315,1037,481,446,0
44,1038,496,303,-0.6289
51,1039,396,430,0.6597
14,1040,639,330,0.6249
18,1041,496,300,0.6828
123,1042,434,250,-0.3612
16,1043,621,344,0.5859
11,1044,534,419,0
4,1045,561,496,0
5,1046,688,304,0.296
6,1047,162,434,0
73,1048,523,463,-0.3612
12,1049,589,321,0
12,1050,589,321,0
245,1051,281,400,0
33,1052,544,378,0.2263
61,1053,661,287,-0.296
51,1054,396,430,-0.1197
14,1055,655,312,0.34
130,1056,523,434,0
44,1057,496,300,-0.1511
260,1058,523,434,-0.3612
90,1059,406,343,0
26,1060,564,513,0
6,1061,162,434,0.3818
28,1062,494,361,0.3612
28,1063,494,361,0.3612
61,1064,661,287,-0.3939
1,1065,553,291,0.4404
21,1066,117,347,0
44,1067,496,300,-0.2695
315,1068,481,446,-0.2714
14,1069,646,325,0
20,1070,455,372,0
20,1071,455,372,0
58,1072,592,359,0
78,1073,406,343,0.6369
4,1074,557,503,0.7506
6,1075,162,434,0
9,1076,557,503,0.0516
122,1077,504,461,-0.6395
8,1078,543,284,0
12,1079,580,332,0.8555
12,1080,580,332,0.8555
303,1081,396,430,-0.9241
192,1082,655,244,0
53,1083,666,310,-0.25
96,1084,619,342,-0.6724
38,1085,590,276,0
163,1086,407,386,0
4,1087,571,485,0
163,1088,407,386,0
23,1089,584,515,-0.0516
124,1090,559,473,0
58,1091,592,359,0
14,1092,656,313,0.4019
25,1093,420,427,0
58,1094,592,359,0
26,1095,564,513,0
14,1096,651,321,0
26,1097,564,513,0
9,1098,558,506,0
152,1099,162,434,-0.5873
27,1100,506,386,0
6,1101,154,417,-0.7096
152,1102,162,434,-0.269
10,1103,688,284,-0.6124
40,1104,468,303,0
10,1105,682,284,-0.8004
14,1106,656,313,0.4019
113,1107,506,386,-0.8893
29,1108,605,400,0.5574
14,1109,654,320,0.6705
37,1110,531,352,0.6792
37,1111,531,352,0.6792
23,1112,583,523,-0.296
16,1113,637,346,0
14,1114,654,318,0
128,1115,76,242,0
90,1116,419,345,-0.5994
129,1117,373,479,-0.4939
129,1118,373,479,-0.4939
227,1119,80,197,0
107,1120,420,427,-0.1779
154,1121,635,308,-0.8481
14,1122,656,311,0.128
80,1123,654,318,-0.5562
14,1124,652,321,0.8016
1,1125,552,291,0.4559
113,1126,506,386,-0.6249
186,1127,426,482,-0.7717
4,1128,563,494,-0.0772
19,1129,523,463,0.4215
14,1130,652,321,0.3939
11,1131,537,417,0
20,1132,455,372,-0.892
20,1133,455,372,-0.892
29,1134,602,396,0
29,1135,603,391,0.4574
11,1136,537,417,0
21,1137,113,351,-0.2592
14,1138,652,321,0.6072
17,1139,199,372,-0.0516
17,1140,199,372,-0.0516
315,1141,481,446,0
14,1142,655,317,0.3182
100,1143,382,466,-0.4939
30,1144,618,341,-0.508
28,1145,494,361,0.8902
