x,y,sentiment
589,321,-0.5106
589,321,-0.5106
162,434,0.0
106,209,-0.4648
537,417,0.6808
222,319,0.0
106,209,0.0
584,509,0.0
583,512,0.0
590,276,-0.4336
455,372,0.2263
455,372,0.2263
549,294,0.0
574,400,0.0
688,284,0.4926
665,311,0.0
537,417,0.0323
395,318,-0.4019
80,434,0.0
80,434,0.0
490,294,-0.7269
537,417,-0.4215
420,427,0.1511
600,390,-0.5994
97,233,-0.34
654,318,0.3182
580,332,0.0
580,332,0.0
592,359,0.4019
603,322,0.0
537,417,0.0
603,322,0.0
537,334,0.5837
661,287,0.0
390,448,0.0
301,336,0.0
654,318,-0.5574
592,359,0.0
637,346,0.0
548,440,-0.4912
115,359,-0.6239
146,418,-0.8074
641,329,-0.6705
652,321,0.0
498,298,0.0
80,434,-0.5859
80,434,-0.5859
531,352,0.5859
531,352,0.5859
555,496,0.3348
671,287,0.75
468,303,-0.6239
494,285,-0.4767
584,511,0.4404
661,287,-0.5255
115,359,-0.6239
523,463,0.7074
537,417,0.0
147,409,-0.69
115,359,-0.6239
223,423,0.5541
537,417,0.0
654,320,0.0
184,384,0.0
325,419,-0.6739
325,419,-0.6739
549,294,-0.4939
661,287,-0.4767
106,209,0.2261
582,510,0.0
654,320,0.0
397,323,0.8779
397,323,0.8779
661,287,-0.4767
492,461,0.5393
661,287,0.0
99,244,-0.1531
537,413,0.0
537,413,0.0
172,417,0.4404
654,318,-0.5994
496,303,0.0
524,354,-0.3612
508,425,0.8579
397,323,0.6486
397,323,0.6486
658,288,0.0
80,434,0.0
80,434,0.0
655,316,-0.5013
162,434,0.7906
388,431,-0.2462
99,246,0.3612
103,362,0.8351
691,284,0.6037
468,351,0.7184
568,306,-0.34
568,306,-0.34
440,256,0.0951
537,417,0.0
581,504,0.0
615,342,-0.2695
225,398,0.7125
537,334,0.5972
103,362,-0.2732
549,294,0.3612
406,474,0.0
164,427,-0.4926
379,472,-0.5562
590,276,-0.7283
164,427,0.1027
654,318,0.296
584,513,0.0
552,326,-0.34
162,434,0.0
624,340,-0.5972
335,372,0.0
335,372,0.0
388,431,0.0
548,440,0.0
588,277,-0.5815
496,303,0.0
506,386,0.0
584,515,-0.1779
537,295,-0.3612
391,429,0.7893
548,440,0.296
151,407,0.0
637,346,0.0
103,210,-0.1837
581,504,-0.7075
655,316,-0.1685
537,417,0.0
551,291,0.2411
468,351,0.7734
544,378,0.0
613,281,-0.7783
537,417,0.0
164,427,0.0
565,307,-0.6814
565,307,-0.6814
530,355,0.0
420,427,0.2003
534,417,0.7269
461,464,0.1695
637,346,0.3773
577,310,0.0
162,434,0.0
654,318,-0.4939
615,349,0.8718
654,318,-0.4939
534,419,0.8834
654,318,-0.5411
580,332,0.9001
580,332,0.9001
583,523,0.0
153,415,0.3182
141,396,-0.765
99,244,-0.7184
407,386,0.0
544,378,0.0
99,244,-0.4215
622,329,0.2714
508,419,0.0
468,303,0.6369
592,359,-0.2755
539,333,-0.3818
627,336,0.0
537,295,-0.25
184,384,-0.0431
688,284,-0.6892
689,282,0.4215
454,465,-0.2755
446,350,0.0
100,352,0.0
107,362,-0.6808
592,359,0.5106
578,314,0.0
580,332,0.0
580,332,0.0
402,305,-0.4912
100,352,0.0
490,298,0.4588
654,318,-0.296
654,318,0.0
617,348,0.6331
654,318,0.0
532,294,0.0
106,213,0.0
580,332,0.0
580,332,0.0
494,361,-0.5994
494,361,-0.5994
637,346,-0.5994
99,244,0.2211
158,413,0.0
107,367,0.2023
624,340,0.0
496,303,0.2263
686,288,-0.4404
103,362,-0.3182
523,463,0.0
642,332,-0.717
407,386,0.0
654,318,0.6249
536,336,0.5859
582,524,0.1134
523,463,0.0
580,332,0.0
580,332,0.0
163,421,0.0
558,505,0.4019
629,376,0.0
99,244,0.5773
496,300,-0.8505
113,351,-0.4019
468,438,0.0
440,290,0.0
637,346,-0.2755
106,209,-0.4019
654,318,0.0
508,419,-0.8236
542,387,0.0
102,240,0.0
579,401,-0.7456
619,346,0.0
99,244,0.0
190,450,0.0
564,307,-0.2201
108,369,-0.5719
116,348,0.3182
678,293,0.8777
686,295,0.0
589,321,0.4404
589,321,0.4404
548,440,0.7672
113,351,-0.128
548,440,0.296
665,311,0.0
548,440,0.296
146,418,-0.5255
548,440,0.296
395,318,0.4019
184,384,0.0
548,440,0.296
